Date,HDFCBANK,ICICIBANK
2021-09-15,1475.0938720703125,698.2801513671875
2021-09-16,1487.63427734375,710.841064453125
2021-09-17,1508.8052978515625,703.94970703125
2021-09-20,1487.538818359375,694.0280151367188
2021-09-21,1480.005126953125,695.8363647460938
2021-09-22,1462.6011962890625,687.527587890625
2021-09-23,1497.2183837890625,700.8705444335938
2021-09-24,1527.3057861328125,706.686767578125
2021-09-27,1549.7640380859375,713.578125
2021-09-28,1540.179931640625,701.0172119140625
2021-09-29,1519.962646484375,693.539306640625
2021-09-30,1521.0115966796875,685.0838623046875
2021-10-01,1509.32958984375,676.7750854492188
2021-10-04,1512.23828125,684.448486328125
2021-10-05,1521.488525390625,681.418212890625
2021-10-06,1540.036865234375,673.9891357421875
2021-10-07,1535.841064453125,686.4035034179688
2021-10-08,1528.3548583984375,687.5765991210938
2021-10-11,1558.0609130859375,697.2537841796875
2021-10-12,1554.0555419921875,692.6594848632812
2021-10-13,1563.4012451171875,693.9791870117188
2021-10-14,1609.176025390625,710.9388427734375
2021-10-18,1592.8687744140625,728.6805419921875
2021-10-19,1610.4156494140625,730.6356201171875
2021-10-20,1596.2540283203125,729.071533203125
2021-10-21,1598.5904541015625,738.5044555664062
2021-10-22,1602.834228515625,742.2189331054688
2021-10-25,1580.185302734375,822.765380859375
2021-10-26,1576.13232421875,810.7420654296875
2021-10-27,1566.6436767578125,816.216064453125
2021-10-28,1519.724365234375,780.732666015625
2021-10-29,1509.47265625,784.0072631835938
2021-11-01,1530.882080078125,785.8157348632812
2021-11-02,1532.2647705078125,782.9320678710938
2021-11-03,1508.1376953125,768.26953125
2021-11-04,1520.05810546875,764.506103515625
2021-11-08,1526.066162109375,762.5999755859375
2021-11-09,1499.3641357421875,768.85595703125
2021-11-10,1483.15234375,763.3331298828125
2021-11-11,1476.5242919921875,754.0956420898438
2021-11-12,1481.006591796875,759.1297607421875
2021-11-15,1485.0594482421875,755.9041137695312
2021-11-16,1476.23828125,746.8621215820312
2021-11-17,1459.8355712890625,744.1740112304688
2021-11-18,1468.0369873046875,745.738037109375
2021-11-22,1445.101806640625,735.0831909179688
2021-11-23,1445.2926025390625,734.9365234375
2021-11-24,1447.6767578125,743.0988159179688
2021-11-25,1455.2103271484375,734.154541015625
2021-11-26,1420.8316650390625,705.9536743164062
2021-11-29,1431.6553955078125,702.2390747070312
2021-11-30,1424.3125,698.2801513671875
2021-12-01,1434.89794921875,711.329833984375
2021-12-02,1455.0198974609375,706.1491088867188
2021-12-03,1443.3853759765625,700.1863403320312
2021-12-06,1434.0872802734375,693.588134765625
2021-12-07,1454.971923828125,718.12353515625
2021-12-08,1481.769287109375,736.4517211914062
2021-12-09,1456.068603515625,738.0157470703125
2021-12-10,1451.9681396484375,740.9482421875
2021-12-13,1441.0966796875,737.0382080078125
2021-12-14,1432.7998046875,741.5836791992188
2021-12-15,1430.4635009765625,735.3275756835938
2021-12-16,1430.5587158203125,724.477294921875
2021-12-17,1404.7628173828125,711.9163818359375
2021-12-20,1359.5601806640625,693.9791870117188
2021-12-21,1374.96142578125,704.1452026367188
2021-12-22,1378.203857421875,716.3151245117188
2021-12-23,1377.15478515625,714.848876953125
2021-12-24,1372.1959228515625,710.7433471679688
2021-12-27,1383.544189453125,719.443115234375
2021-12-28,1393.0806884765625,719.2476806640625
2021-12-29,1386.452880859375,719.14990234375
2021-12-30,1393.7481689453125,719.14990234375
2021-12-31,1410.818359375,723.4998168945312
2022-01-03,1449.202392578125,747.4974975585938
2022-01-04,1457.68994140625,755.4641723632812
2022-01-05,1492.30712890625,770.322265625
2022-01-06,1468.37060546875,767.3896484375
2022-01-07,1478.6700439453125,775.4052734375
2022-01-10,1486.871337890625,792.5115356445312
2022-01-11,1493.308349609375,792.413818359375
2022-01-12,1484.4873046875,805.2191772460938
2022-01-13,1457.16552734375,806.1478271484375
2022-01-14,1473.5205078125,801.553466796875
2022-01-17,1450.9666748046875,800.8692626953125
2022-01-18,1458.357421875,804.5836791992188
2022-01-19,1448.05810546875,790.409912109375
2022-01-20,1439.0462646484375,792.0227661132812
2022-01-21,1451.06201171875,786.4021606445312
2022-01-24,1417.7322998046875,780.48828125
2022-01-25,1419.0673828125,783.6163330078125
2022-01-27,1406.5745849609375,776.7738037109375
2022-01-28,1395.4171142578125,763.5775146484375
2022-01-31,1416.8262939453125,771.0553588867188
2022-02-01,1427.6025390625,792.0717163085938
2022-02-02,1460.2169189453125,795.444091796875
2022-02-03,1445.101806640625,790.7520751953125
2022-02-04,1453.3507080078125,786.9398193359375
2022-02-07,1400.08984375,768.7094116210938
2022-02-08,1394.08203125,774.672119140625
2022-02-09,1428.1746826171875,784.7403564453125
2022-02-10,1454.39990234375,787.3796997070312
2022-02-11,1448.4395751953125,773.0103759765625
2022-02-14,1405.382568359375,736.7449340820312
2022-02-15,1447.4383544921875,758.5921630859375
2022-02-16,1445.483154296875,746.8621215820312
2022-02-17,1436.6619873046875,733.4702758789062
2022-02-18,1442.2408447265625,732.0530395507812
2022-02-21,1451.5389404296875,737.4781494140625
2022-02-22,1440.6673583984375,734.39892578125
2022-02-23,1431.3218994140625,727.8496704101562
2022-02-24,1353.599853515625,691.4865112304688
2022-02-25,1388.5986328125,713.626953125
2022-02-28,1360.13232421875,725.992431640625
2022-03-02,1310.54296875,698.7688598632812
2022-03-03,1307.443603515625,682.5912475585938
2022-03-04,1303.1522216796875,672.57177734375
2022-03-07,1263.3853759765625,639.0433959960938
2022-03-08,1266.246337890625,650.0403442382812
2022-03-09,1307.586669921875,652.4352416992188
2022-03-10,1328.1375732421875,661.3793334960938
2022-03-11,1332.047607421875,662.6502075195312
2022-03-14,1375.6766357421875,680.4895629882812
2022-03-15,1357.986572265625,681.66259765625
2022-03-16,1381.01708984375,692.072998046875
2022-03-17,1411.4383544921875,703.9008178710938
2022-03-21,1417.5892333984375,694.7611694335938
2022-03-22,1424.884765625,702.0435791015625
2022-03-23,1410.67529296875,702.141357421875
2022-03-24,1375.7720947265625,688.3585815429688
2022-03-25,1364.5667724609375,683.5198364257812
2022-03-28,1366.3787841796875,694.3701782226562
2022-03-29,1384.4979248046875,699.2088012695312
2022-03-30,1408.48193359375,714.4579467773438
2022-03-31,1402.18798828125,713.871337890625
